"country","sftgcode","iso3code","year","start.1","mean.p","harff.p","threat.p","rf.p"
"Afghanistan","AFG","AFG",1945,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1946,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1947,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1948,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1949,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1950,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1951,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1952,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1953,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1954,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1955,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1956,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1957,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1958,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1959,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1960,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1961,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1962,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1963,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1964,0,NA,0.0151489283568007,NA,NA
"Afghanistan","AFG","AFG",1965,0,NA,0.0130479192474697,NA,NA
"Afghanistan","AFG","AFG",1966,0,NA,0.0151104031680891,NA,NA
"Afghanistan","AFG","AFG",1967,0,NA,0.0187082005636382,NA,NA
"Afghanistan","AFG","AFG",1968,0,NA,0.0170200145951801,NA,NA
"Afghanistan","AFG","AFG",1969,0,NA,0.0166555963859648,NA,NA
"Afghanistan","AFG","AFG",1970,0,NA,0.0187975116887335,NA,NA
"Afghanistan","AFG","AFG",1971,0,NA,0.0160516010713683,NA,NA
"Afghanistan","AFG","AFG",1972,0,NA,0.0146158096604134,NA,NA
"Afghanistan","AFG","AFG",1973,0,NA,0.0167146843143002,NA,NA
"Afghanistan","AFG","AFG",1974,0,NA,0.0164562211871574,NA,NA
"Afghanistan","AFG","AFG",1975,0,NA,0.0173816168725458,NA,NA
"Afghanistan","AFG","AFG",1976,0,NA,0.0167092044043205,NA,NA
"Afghanistan","AFG","AFG",1977,1,NA,0.0177131747687946,NA,NA
"Afghanistan","AFG","AFG",1978,0,NA,0.0468270363545021,NA,NA
"Afghanistan","AFG","AFG",1979,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1980,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1981,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1982,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1983,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1984,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1985,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1986,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1987,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1988,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1989,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1990,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1991,1,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1992,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1993,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1994,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1995,1,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1996,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1997,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1998,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",1999,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",2000,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",2001,0,NA,NA,NA,NA
"Afghanistan","AFG","AFG",2002,0,NA,0.00959516700432697,NA,NA
"Afghanistan","AFG","AFG",2003,0,0.0276159905828192,0.00759959394423315,0.0722483778042244,0.003
"Afghanistan","AFG","AFG",2004,0,0.0302565782945948,0.00837733727210361,0.0793923976116809,0.003
"Afghanistan","AFG","AFG",2005,0,0.0298310868876789,0.00933247514423706,0.0771607855187997,0.003
"Afghanistan","AFG","AFG",2006,0,0.0315747405929436,0.00990376496711347,0.0828204568117174,0.002
"Afghanistan","AFG","AFG",2007,0,0.020016957546554,0.012109294813405,0.0469415778262571,0.001
"Afghanistan","AFG","AFG",2008,0,0.021617368364946,0.0124622136280893,0.0493898914667486,0.003
"Afghanistan","AFG","AFG",2009,0,0.0223511775571842,0.0150391502051624,0.0470143824663901,0.005
"Afghanistan","AFG","AFG",2010,0,0.0218879166679161,0.0156016003027111,0.0490621497010374,0.001
"Afghanistan","AFG","AFG",2011,0,0.0227455153599111,0.0167475863486238,0.0494889597311094,0.002
"Afghanistan","AFG","AFG",2012,0,0.0244285896243838,0.0183941328221274,0.0488916360510241,0.006
"Afghanistan","AFG","AFG",2013,NA,NA,NA,NA,NA
"Afghanistan","AFG","AFG",2014,NA,NA,NA,NA,NA
"Albania","ALB","ALB",1945,0,NA,NA,NA,NA
"Albania","ALB","ALB",1946,0,NA,NA,NA,NA
"Albania","ALB","ALB",1947,0,NA,NA,NA,NA
"Albania","ALB","ALB",1948,0,NA,NA,NA,NA
"Albania","ALB","ALB",1949,0,NA,NA,NA,NA
"Albania","ALB","ALB",1950,0,NA,NA,NA,NA
"Albania","ALB","ALB",1951,0,NA,NA,NA,NA
"Albania","ALB","ALB",1952,0,NA,NA,NA,NA
"Albania","ALB","ALB",1953,0,NA,NA,NA,NA
"Albania","ALB","ALB",1954,0,NA,NA,NA,NA
"Albania","ALB","ALB",1955,0,NA,NA,NA,NA
"Albania","ALB","ALB",1956,0,NA,NA,NA,NA
"Albania","ALB","ALB",1957,0,NA,NA,NA,NA
"Albania","ALB","ALB",1958,0,NA,NA,NA,NA
"Albania","ALB","ALB",1959,0,NA,NA,NA,NA
"Albania","ALB","ALB",1960,0,NA,NA,NA,NA
"Albania","ALB","ALB",1961,0,NA,NA,NA,NA
"Albania","ALB","ALB",1962,0,NA,NA,NA,NA
"Albania","ALB","ALB",1963,0,NA,NA,NA,NA
"Albania","ALB","ALB",1964,0,NA,NA,NA,NA
"Albania","ALB","ALB",1965,0,NA,NA,NA,NA
"Albania","ALB","ALB",1966,0,NA,NA,NA,NA
"Albania","ALB","ALB",1967,0,NA,NA,NA,NA
"Albania","ALB","ALB",1968,0,NA,NA,NA,NA
"Albania","ALB","ALB",1969,0,NA,NA,NA,NA
"Albania","ALB","ALB",1970,0,NA,NA,NA,NA
"Albania","ALB","ALB",1971,0,NA,NA,NA,NA
"Albania","ALB","ALB",1972,0,NA,NA,NA,NA
"Albania","ALB","ALB",1973,0,NA,NA,NA,NA
"Albania","ALB","ALB",1974,0,NA,NA,NA,NA
"Albania","ALB","ALB",1975,0,NA,NA,NA,NA
"Albania","ALB","ALB",1976,0,NA,NA,NA,NA
"Albania","ALB","ALB",1977,0,NA,NA,NA,NA
"Albania","ALB","ALB",1978,0,NA,NA,NA,NA
"Albania","ALB","ALB",1979,0,NA,NA,NA,NA
"Albania","ALB","ALB",1980,0,NA,0.00732125973802195,NA,NA
"Albania","ALB","ALB",1981,0,0.00564121766192827,0.00770693668195738,0.00621671630382742,0.003
"Albania","ALB","ALB",1982,0,0.00535711603006035,0.0073123967499492,0.00575895134023186,0.003
