"country","sftgcode","iso3code","year","start","ongoing","ageln","postcw","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","wdi.popsizeln","wdi.tradeln","xxxcimrln","polcat1","polcat2","polcat3","polcat7","pitfcat1","pitfcat2","pitfcat3","pitfcat4","pitfcat5","pitfcat6","durableln","autocracy","efcat1","efcat2","efcat3","efcat9","ever","ongoing.1","cou.tries5d","regacln","civconln","io.iccpr1","mix.gdppcgrowsr","dispota4ln","elceliti","elcelethc","elceleth1","elceleth2","sftpuhvl2.10ln","coup.p","cwar.p","pitf.p","threat.p","harff.p","rf.p","mean.p","date"
"Afghanistan","AFG","AFG",2014,0,0,4.56434819146784,1,0,0,0,0,1,0,17.210841968409,3.79955003540726,1.74462675428047,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.89037175789616,0,0,3.79282057954518,0,0,0,0,0,3.68887945411394,0.0844800117896407,0.0764477253463412,0.0896788023719936,0.0488916360510241,0.0183941328221274,0.007,0.0247619229577172,2018-07-06
"Albania","ALB","ALB",2014,0,0,4.63472898822964,1,0,0,1,0,0,0,14.9667415456164,4.38715676624585,-0.408764663659437,0,0,1,0,0,0,0,1,0,0,2.77258872223978,0,1,0,0,0,1,0,0,1.94591014905531,0,1,1.26491106406711,0,0,0,0,0,0,0.00914266651389556,0.00306185472786576,0.0207667392119589,0.000811948741215947,0.00721363635825371,0,0.00267519503315655,2018-07-06
"Algeria","ALG","DZA",2014,0,0,3.97029191355212,1,0,0,0,1,0,0,17.465693491512,4.17254224154676,0.0968063862925816,0,1,0,0,0,1,0,0,0,0,2.19722457733622,0,0,1,0,0,1,0,0,2.63905732961526,0,1,1.81659021245844,0,1,1,1,0,1.38629436111989,0.0176565026902594,0.0310924153167849,0.0440742173660856,0.00884940269032899,0.0167525598318613,0,0.00853398750739677,2018-07-06
"Angola","ANG","AGO",2014,0,0,3.68887945411394,1,1,0,0,0,0,0,16.8514498369715,4.62777133205195,1.36884895329264,0,1,0,0,0,1,0,0,0,0,2.77258872223978,1,0,0,1,0,1,0,0,1.79175946922805,0,1,2.61354619012448,1.09861228866811,0,0,0,0,0,0.0460685774536889,0.0388620915369058,0.0788369842260278,0.019321637618903,0.0151012827647319,0,0.011474306794545,2018-07-06
"Argentina","ARG","ARG",2014,0,0,5.29330482472449,1,0,0,0,0,0,1,17.5312005510101,3.61412015243982,-0.703078687110292,0,0,1,0,0,0,0,1,0,0,3.40119738166216,0,1,0,0,0,1,0,0,1.6094379124341,0,1,2.90964992942126,0,0,0,0,0,0,0.00620638749065904,0.00534881800159249,0.00764396122366763,0.00102689570397623,0.00640224275017461,0,0.00247637948471695,2018-07-06
"Armenia","ARM","ARM",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,14.9037630352869,4.30878585987497,-0.154386001013117,0,1,0,0,0,0,1,0,0,0,2.70805020110221,0,1,0,0,0,0,0,0,2.94443897916644,0,1,2.68176542244237,0,0,0,0,0,0,0.0117302821946513,0.0131392407619345,0.0615622963381148,0.00329490855459599,0.00923898572448597,0,0.00417796475969399,2018-07-06
"Australia","AUL","AUS",2014,0,0,4.7361984483945,1,0,1,0,0,0,0,16.9371527543863,3.7440072294853,-1.54122966268229,0,0,1,0,0,0,0,0,1,0,4.71849887129509,0,1,0,0,0,0,0,0,0,0,1,1.84784128035912,0,0,0,0,0,0,0.00339791130830843,0.00158354713708929,0.00351531262006753,0.000248559015680048,0.0019787117044104,0,0.000742423573363483,2018-07-06
"Austria","AUS","AUT",2014,0,0,4.57471097850338,1,0,0,1,0,0,0,15.9511488150893,4.71110520541454,-1.60708773626286,0,0,1,0,0,0,0,0,1,0,4.20469261939097,0,1,0,0,0,0,0,0,1.94591014905531,0,1,0.933005722919519,0,0,0,0,0,0,0.00261930531214278,0.00214418874680799,0.00268163219352388,0.000273746353269487,0.000812450487965017,0,0.000362065613744834,2018-07-06
"Azerbaijan","AZE","AZE",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,16.0452568576716,4.37384901629307,0.302628637699736,1,0,0,0,1,0,0,0,0,0,2.89037175789616,1,1,0,0,0,1,0,0,2.94443897916644,0,1,1.48323969741907,0,0,1,1,0,0,0.0114372241285139,0.0200489123549731,0.0164233574330147,0.00465053195411818,0.0122294068986559,0,0.00562664628425803,2018-07-06
"Bahrain","BAH","BHR",2014,0,0,3.78418963391826,1,0,0,0,1,0,0,14.0914947259452,4.81825464185157,-0.7339691750802,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.94443897916644,0,0,1.84385175271866,4.47733681447821,0,1,0,1,0,0.0120819523717672,0.0059425411668577,0.0295597513134575,0.00170421102245879,0.00764963694205269,0.002,0.00378461598817049,2018-07-06
"Bangladesh","BNG","BGD",2014,0,0,3.78418963391826,1,0,0,0,0,1,0,18.8569683732721,4.01264725526307,0.835259300407635,0,1,0,0,0,0,0,1,0,0,1.38629436111989,0,1,0,0,0,1,0,0,3.04452243772342,0,0,2.49673888322396,2.484906649788,0,0,0,0,1.38629436111989,0.0412316337462645,0.0813324303839789,0.0712471694196967,0.0334348335707697,0.0181891288971605,0.002,0.0178746541559767,2018-07-06
"Belarus","BLR","BLR",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,16.0630056846404,5.06728550246028,-1.74802407605808,1,0,0,0,1,0,0,0,0,0,2.83321334405622,1,0,1,0,0,0,0,0,1.94591014905531,0,1,1.22474487139163,1.62924053973028,0,0,0,0,0,0.00286762515847349,0.00454494642617577,0.00526972033441637,0.000551072233602353,0.00100361030763925,0,0.000518227513747201,2018-07-06
"Belgium","BEL","BEL",2014,0,0,5.22035582507832,1,0,0,1,0,0,0,16.2262464002911,5.14254140411582,-1.60240388431644,0,0,1,0,0,0,1,0,0,0,4.23410650459726,0,0,1,0,0,0,0,0,1.94591014905531,0,1,-0.369078245915337,0,0,1,1,0,0,0.00277669278533286,0.00235269863746066,0.0218479385068221,0.000307404185211635,0.00487852841580317,0,0.00172864420033827,2018-07-06
"Benin","BEN","BEN",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,16.1231530407762,3.7363159826399,1.03848754208073,0,0,1,0,0,0,0,1,0,0,3.09104245335832,0,0,0,1,0,0,0,0,2.39789527279837,0,1,2.32378438684436,0,0,0,0,0,0,0.0227328034756698,0.0117791142537283,0.0426745220521173,0.00453520348160506,0.0108991483424299,0,0.00514478394134499,2018-07-06
"Bhutan","BHU","BTN",2014,0,0,4.86753445045558,1,0,0,0,0,1,0,13.5168646011875,4.4693434589434,0.685352172269475,0,1,0,0,0,1,0,0,0,0,1.6094379124341,0,0,1,0,0,0,0,0,3.04452243772342,0,0,3.07272932849397,3.58351893845611,0,1,0,1,0,0.0341219369641194,0.0138794487541497,0.0898663768821536,0.0067158632940161,0.0206706513616674,0.004,0.0104621715518945,2018-07-06
"Bolivia","BOL","BOL",2014,0,0,5.24702407216049,1,0,0,0,0,0,1,16.1665319429986,4.44387338721234,0.655750684710055,0,0,1,0,0,0,1,0,0,0,3.43398720448515,0,0,0,1,0,0,0,0,1.6094379124341,0,1,2.27517712408715,0,0,1,1,0,0,0.0182041514753658,0.00737629350896239,0.0554462299416445,0.00264825893736047,0.0152132035590727,0,0.00595382083214439,2018-07-06
